Transaction Description,Type,Category,Amount ($)
Bank cRediT FroM stOck diViDEnD,Income,Investments,4352.19
cvs pharmacy monthly bill,Expense,Health & Medical,748.12
netflix monthly bill,Expense,Subscriptions,214.55
Payment received: bank interest,Income,Interest/Dividends,6460.06
Income via stock dividend,Income,Investments,8745.94
PAiD gruBhuB via card,Expense,Restaurants,44.87
spectrum monthly bill,Expense,Utilities,262.63
Payment to walgreens,Expense,Health & Medical,7.28
Paid mAkemyTRIp viA cArD,Expense,Travel,583.32
walgreens monthly bill,Expense,Health & Medical,437.3
Credited from sop revenue,Income,Business Revenue,3251.29
macys transaction,Expense,Shopping,809.2
Payment to starbucks,Expense,Restaurants,73.22
booking.com tra2nsaction,Expense,Travel,736.19
Paid ubereats via card,Expense,Restaurants,47.94
CreditEd FroM saLarY fRoM gooGle,Income,Salary,5918.26
Income via freelance gig,Income,Freelance,9297.64
Payment to bp gas,Expense,Transportation,899.98
urgent care transaction,Expense,Health & Medical,185.61
aMAzOn reFund DEpOsit rEceived,Income,Refunds,6182.78
Payment to trader joe,Expense,Groceries,136.46
trAder jOe tRAnsacTIOn,Expense,Groceries,131.85
IncOme vIA Crypto GaiN,Income,Investments,7803.53
BaNk CredIt from fD iNtErESt,Income,Interest/Dividends,6977.4
store deposit credited to account,Income,Business Revenue,642.2
house rent deposit received,Income,Rent Income,3036.68
Paid youtube premium via card,Expense,Subscriptions,212.98
Credited from share sale profit,Income,Investments,2397.42
Bank credit from office paycheck,Income,Salary,3737.1
Credited from perfomance bonus,Income,Gift/Bonus,207.31
CREditED FROm stOrE DEposiT,Income,Business Revenue,4622.48
Payment to airbnb,Expense,Travel,94.1
Received holiday reward,Income,Gift/Bonus,9026.32
Credited from monthly salary,Income,Salary,8664.47
contract project payment credited to account,Income,Freelance,6167.54
PAid AmazoN PRIme viA card,Expense,Subscriptions,407.34
Purchase at indigo,Expense,Travel,622.92
aMazon REFUNd CRedited To aCcount,Income,Refunds,2706.78
Paid safeway via card,Expense,Groceries,504.56
Payment received: stock dividend,Income,Investments,1943.27
mcdonald transaction,Expense,Restaurants,283.77
Bank credit from office lease income,Income,Rent Income,1191.52
Credited from contract prject payment,Income,Freelance,4321.68
b2b invoice payment deposit received,Income,Business Revenue,2443.79
PAYmenT To aMAzon PrIme,Expense,Subscriptions,975.31
cvs pharmacy charge,Expense,Health & Medical,754.29
ubereats transaction,Expense,Restaurants,515.97
Income via property lease payment,Income,Rent Income,4569.59
electric co-o5p monthly bill,Expense,Utilities,674.37
PAiD bp gas vIa caRd,Expense,Transportation,911.4
nse return credited to account,Income,Investments,1000.61
comcast transaction,Expense,Utilities,211.4
Received tenant payment,Income,Rent Income,5331.06
Payment to ALdI,Expense,Groceries,433.31
Purchase at indigo,Expense,Travel,832.25
Bank credit from house rent,Income,Rent Income,6021.02
lyft ride charge,Expense,Transportation,682.08
Payment received: client transfer,Income,Freelance,5879.19
hOspital - orDeR #8#136,Expense,Health & Medical,904.61
b2b invoice pyment deposit received,Income,Business Revenue,336.37
Received dividend credit,Income,Interest/Dividends,3301.39
gym membership charge,Expense,Health & Medical,901.05
Purchase at chevron,Expense,Transportation,816.46
Income via online sale,Income,Business Revenue,4416.78
disney plus monthly bill,Expense,Subscriptions,827.61
netflix - order #3703,Expense,Subscriptions,125.35
Purchase at macys,Expense,Shopping,540.8
Credited from store return refund,Income,Refunds,5962.69
Paid verizon via card,Expense,Utilities,245.37
Payment received: bank refund,Income,Refunds,7024.47
Credited from house rent,Income,Rent Income,7191.6
Income via mutual fund profit,Income,Investments,7369.56
birthday gift money credited to account,Income,Gift/Bonus,3380.98
gym membership transaction,Expense,Health & Medical,128.63
Paid target via card,Expense,Shopping,535.71
parking garage charge,Expense,Transportation,513.11
Purchase at amazon.com,Expense,Shopping,402.33
Payment to verizon,Expense,Utilities,918.24
Payment to ebay,Expense,Shopping,625.12
Payment TO kroGeR,Expense,Groceries,525.77
lyft ride monthly bill,Expense,Transportation,752.17
Credited from b2b invoice payment,Income,Business Revenue,7906.75
online sale credited to account,Income,Business Revenue,9946.4
Pyment received: crypto gain,Income,Investments,6995.85
Credited from company payroll,Income,Salary,2675.17
Credited from dividend credit,Income,Interest/Dividends,7455.68
customer payment credited to account,Income,Business Revenue,7847.16
Received corporate paymen5t,Income,Salary,179.49
Paid oyo rooms via card,Expense,Travel,886.62
meijer charge,Expense,Groceries,946.89
PAYmenT to wAlgrEenS,Expense,Health & Medical,307.16
Paid electric co-op via card,Expense,Utilities,676.1
Paymentto trader joe,Expense,Groceries,453.11
Paid bp gas via card,Expense,Transportation,232.9
Purchase at parking garage,Expense,Transportation,12.21
PAid oYo ROoms via Card,Expense,Travel,214.69
monthly salary c5redited to account,Income,Salary,5508.39
CREDiteD from Fd intEResT,Income,Interest/Dividends,8348.59
ebay monthly bill,Expense,Shopping,565.7
Credited from bank interest,Income,Interest/Dividends,6372.3
office lease income deposit received,Income,Rent Income,854.53
walmart charge,Expense,Shopping,422.37
Income via client transfer,Income,Freelance,5401.13
Bank credit from performance bonus,Income,Gift/Bonus,5363.68
Bank credit from shop revenue,Income,Business Revenue,5312.35
Paid walgreens via card,Expense,Health & Medical,960.3
Payment to lyft ride,Expense,Transportation,865.01
Purchase at walgreens,Expense,Health & Medical,17.57
walmart monthly bill,Expense,Shopping,48.17
am8azon refund deposit received,Income,Refunds,7508.14
Payment to best buy,Expense,Shopping,839.0
myntra transaction,Expense,Shopping,646.07
Received holiday reward,Income,Gift/Bonus,8649.45
b2b invoice payment credite to account,Income,Business Revenue,9356.96
Purchase at urgent care,Expense,Health & Medical,401.12
Payment received: fd interest,Income,Interest/Dividends,1738.1
BaNk credIt fRom cash pRizE,Income,Gift/Bonus,209.42
mUtuAl Fund prOfit crEdIted To aCcOUNt,Income,Investments,4135.38
amazon refund DepoSit rECeived,Income,Refunds,2382.56
Credited from investment return,Income,Interest/Dividends,3001.08
Purchase at electric co-op,Expense,Utilities,524.23
Payment to myntra,Expense,Shopping,49.01
CrEdIted fRoM PROpeRTY lease paymENt,Income,Rent Income,179.96
PaYmENt reCeiVeD: B2B invoice PayMenT,Income,Business Revenue,9496.47
Paid amazon prime via card,Expense,Subscriptions,917.78
Paid lyft ride via card,Expense,Transportation,78.66
Received store return refund,Income,Refunds,6969.27
Received performance bonus,Income,Gift/Bonus,9049.06
8gym membership charge,Expense,Health & Medical,32.03
Income via online sale,Income,Business Revenue,5415.59
Payment to youtube premium,Expense,Subscriptions,557.82
PaymEnt rEceiVeD: office leasE IncOme,Income,Rent Income,7251.56
walgreens monthly bill,Expense,Health & Medical,110.1
Payment to lyft rde,Expense,Transportation,555.28
Received house rent,Income,Rent Income,6626.95
Credited from shop revenue,Income,Business Revenue,2739.48
ikea charge,Expense,Shopping,216.61
parking garage transaction,Expense,Transportation,599.69
Income via dividend credit,Income,Interest/Dividends,6143.76
cvs pharmacy - order #1221,Expense,Health & Medical,399.45
Paid chevron via card,Expense,Transportation,744.28
property lease payment credited to account,Income,Rent Income,8654.9
Payment received: corporate payment,Income,Salary,2717.81
ubereats charge,Expense,Restaurants,487.33
urgent care transaction,Expense,Health & Medical,550.53
BANK cREDIt frOm mutUAl Fund ProfiT,Income,Investments,6384.36
Received bank interest,Income,Interest/Dividends,5230.49
Received upwork payout,Income,Freelance,4695.58
domino's pizza - order #6581,Expense,Restaurants,410.11
property lease payment deposit received,Income,Rent Income,2363.28
Payment to burger king,Expense,Restaurants,502.45
SuBWay 7tranSactiOn,Expense,Restaurants,428.68
Received fiVerr paymeNT,Income,Freelance,7843.51
PaId MaKEmyTRip VIa card,Expense,Travel,213.7
Payment to publix,Expense,Groceries,565.94
Payment to bp gas,Expense,Transportation,990.73
tripadvisor monthly bill,Expense,Travel,883.93
al1di - order #2333,Expense,Groceries,347.18
cvs pharmacy monthly bill,Expense,Health & Medical,269.28
Payment received: tenant payment,Income,Rent Income,3830.55
Payment received: property lease payment,Income,Rent Income,8829.83
Purchase at walmart,Expense,Shopping,386.89
Received holiday reward,Income,Gift/Bonus,8705.29
eBAy monthLy Bill,Expense,Shopping,585.15
meijer charge,Expense,Groceries,348.36
city water mOnthly BIlL,Expense,Utilities,787.8
Purchase at met2ro ticket,Expense,Transportation,505.6
parking garage - order #4657,Expense,Transportation,328.31
PAyMent rEcEiVED: salary FRoM GooGLe,Income,Salary,1131.98
Payment 1to costco,Expense,Groceries,511.43
comcast charge,Expense,Utilities,135.31
Payment to metro ticket,Expense,Transportation,776.91
Bank credit from property lease payment,Income,Rent Income,9951.41
Received house r7ent,Income,Rent Income,9314.5
Paid chevron via card,Expense,Transportation,872.49
amazon refund credited to account,Income,Refunds,4137.04
store deposit deposit received,Income,Business Revenue,1386.12
PurcHasE aT parkinG G6arAGe,Expense,Transportation,320.61
ComPAny pAyrolL CreditED To acCounT,Income,Salary,2154.53
performance bonus deposit received,Income,Gift/Bonus,5516.93
Paid pg&e bill via card,Expense,Utilities,480.2
walmart grocery monthly bill,Expense,Groceries,808.7
Received house rent,Income,Rent Income,6474.73
Credited frOm sTock DiviDEnd,Income,Investments,4274.15
Paid ubereats via card,Expense,Restaurants,724.07
Received performance bonus,Income,Gift/Bonus,3490.05
Payment received: credit card cashback,Income,Refunds,6042.48
Rece0ived mutual fund profit,Income,Investments,3539.14
dividend credit cre3dited to account,Income,Interest/Dividends,4890.95
company payroll deposit received,Income,Salary,8428.9
Payment received: credit card cashback,Income,Refunds,8104.66
BanK crEdit frOM custoMeR paYmenT,Income,Business Revenue,1261.35
best buy monthly bill,Expense,Shopping,679.73
tripadvisor - order #2521,Expense,Travel,446.34
Received upwork payout,Income,Freelance,5806.39
prOpErTy Lease paymeNT Deposit recEivEd,Income,Rent Income,8441.89
target monthly bill,Expense,Shopping,740.66
trader joe charge,Expense,Groceries,661.56
PAid meTro Ticket viA caRd,Expense,Transportation,848.03
cvs pharmacy monthly bill,Expense,Health & Medical,71.97
Received BAnK iNTErEst,Income,Interest/Dividends,9506.95
Payment received: online sale,Income,Business Revenue,4296.96
oFficE Lease InCOme dEpoSiT rEceIVed,Income,Rent Income,438.64
spectrum charge,Expense,Utilities,341.65
Payment received: office lease income,Income,Rent Income,6481.22
spectrum tRAnsaCtion,Expense,Utilities,372.32
Income via nse return,Income,Investments,2190.5
bp gas monthly bill,Expense,Transportation,40.78
meijer transaction,Expense,Groceries,143.34
festival bonus credited to account,Income,Gift/Bonus,9904.48
Payment to amazon.com,Expense,Shopping,815.4
Payment received: fd interest,Income,Interest/Dividends,8813.22
Paid amazon prime via card,Expense,Subscriptions,929.04
hOLiday reWard Deposit ReceIvEd,Income,Gift/Bonus,5295.42
grUBhuB MonThly BiLL,Expense,Restaurants,616.95
Credited from amazon refund,Income,Refunds,8111.42
Purchase at lyft ride,Expense,Transportation,380.2
t-mobile transaction,Expense,Utilities,862.05
cITy watEr transactIOn,Expense,Utilities,527.0
cash prize credited to account,Income,Gift/Bonus,2335.07
Credited from shop revenue,Income,Business Revenue,6826.98
Purchase aT amAzon PriMe,Expense,Subscriptions,563.2
Paid amazon prime 6via card,Expense,Subscriptions,430.29
Payment to domino's pizza,Expense,Restaurants,476.48
store return refund0 credited to account,Income,Refunds,9200.72
indigo charge,Expense,Travel,872.83
Bank credit from bank interest,Income,Interest/Dividends,4276.36
metro ticket transaction,Expense,Transportation,947.27
publix harge,Expense,Groceries,665.67
cvs pharmacy - order #2019,Expense,Health & Medical,215.23
Bank credit from dividend credit,Income,Interest/Dividends,8062.44
hulU cHArge,Expense,Subscriptions,128.84
Bank credit from property lease payment,Income,Rent Income,4762.78
maKemytrIp chargE,Expense,Travel,665.0
Bank credit from monthly salary,Income,Salary,5645.04
PURCHase at costco,Expense,Groceries,949.33
hOSPiTal - ordEr #2003,Expense,Health & Medical,109.19
Paid spectrum via card,Expense,Utilities,647.18
Paid cvs pharmacy via card,Expense,Health & Medical,871.99
Credited from festival bonus,Income,Gift/Bonus,2854.87
t-mobile monthly bill,Expense,Utilities,932.25
BanK cReDiT fROM invEstmenT rEtURn,Income,Interest/Dividends,6352.57
Purchase at gym membership,Expense,Health & Medical,814.9
Payment to city water,Expense,Utilities,236.7
ReCeIVed onLIne SaLe,Income,Business Revenue,1056.26
Payment to grubhub,Expense,Restaurants,593.02
paypal refund deposit received,Income,Refunds,3513.41
kfc - order #8057,Expense,Restaurants,450.63
Credited from cash prize,Income,Gift/Bonus,4122.0
Purchase at comcast,Expense,Utilities,630.24
cVs PHarMaCy - order #6426,Expense,Health & Medical,851.54
comcast transaction,Expense,Utilities,426.53
Received office paycheck,Income,Salary,341.92
electric co-op transaction,Expense,Utilities,75.99
Bank credit from paypal refund,Income,Refunds,9736.31
kroger - order #4049,Expense,Groceries,258.35
best buy transaction,Expense,Shopping,305.06
tripadvisor transaction,Expense,Travel,576.25
bp gas charge,Expense,Transportation,160.97
Paid TripadvisOR via carD,Expense,Travel,572.4
share sale profit deposit received,Income,Investments,3646.86
office lease income credited to account,Income,Rent Income,7840.6
Bank credit from crypto gain,Income,Investments,3599.06
Paid disney plus via card,Expense,Subscriptions,866.01
Received tenant payment,Income,Rent Income,7233.41
chevron charge,Expense,Transportation,9.64
apple music - order #5766,Expense,Subscriptions,839.76
Purchase at kfc,Expense,Restaurants,414.67
Received baNK rEfunD,Income,Refunds,9274.24
Paid parking garage via card,Expense,Transportation,570.21
sock di5vidend deposit received,Income,Investments,5208.0
monthly salary deposit received,Income,Salary,6885.15
holiday reward credited to account,Income,Gift/Bonus,6785.46
paypal refund deposit received,Income,Refunds,2587.5
Payment received: festival bonus,Income,Gift/Bonus,3189.79
urgent cAre charGe,Expense,Health & Medical,226.84
cvs pharmacy charge,Expense,Health & Medical,142.95
Payment to bp gas,Expense,Transportation,123.69
booking.com transaction,Expense,Travel,701.98
Payment received: property lease payment,Income,Rent Income,3730.59
Income via office lease income,Income,Rent Income,8221.95
store return refund credited to account,Income,Refunds,4878.08
Payment received: festival bonu9s,Income,Gift/Bonus,2853.86
REceived caSh pRize,Income,Gift/Bonus,6816.79
Paid ubereat5s via card,Expense,Restaurants,639.78
Payment to bp gas,Expense,Transportation,411.86
Paid burger king via card,Expense,Restaurants,785.97
INCoMe vIA shop rEveNue,Income,Business Revenue,8145.67
apple musi4c charge,Expense,Subscriptions,975.02
Paid chevron via card,Expense,Transportation,833.9
Bank credit from nse return,Income,Investments,716.93
PAYmEnt Received: hoLIDAy reWard,Income,Gift/Bonus,6498.7
Bank credit from client transfer,Income,Freelance,9543.48
M3eiJeR moNthly bill,Expense,Groceries,71.59
Payment to tripadvisor,Expense,Travel,311.5
Payment received: mutual fund profit,Income,Investments,5395.64
share sale profit deposit received,Income,Investments,7567.03
Purchase ataldi,Expense,Groceries,720.97
Payment to myntra,Expense,Shopping,116.24
Purchase a hospital,Expense,Health & Medical,439.48
Paid amazon.com via card,Expense,Shopping,448.56
Payment to booking.com,Expense,Travel,874.45
Income via property lease payment,Income,Rent Income,7872.62
Payment to netflix,Expense,Subscriptions,55.95
PeRfoRmaNce BoNUs CreDiTed tO ACcount,Income,Gift/Bonus,1306.84
Bank credit from amazon refund,Income,Refunds,8325.32
Payment tO wALMart gRocery,Expense,Groceries,583.4
birthday gift money deposit received,Income,Gift/Bonus,6036.57
tenant payment credited to account,Income,Rent Income,3448.81
booking.com transaction,Expense,Travel,245.02
Payment to booking.com,Expense,Travel,800.33
cash prize credited to account,Income,Gift/Bonus,7617.43
Purchase at ikea,Expense,Shopping,101.3
kfc transaction,Expense,Restaurants,330.03
bank interest credited to account,Income,Interest/Dividends,6432.72
electric co-op monthly bill,Expense,Utilities,106.59
Paid ebay via card,Expense,Shopping,337.23
Payment received: cash prize,Income,Gift/Bonus,7442.77
Incom#e via store deposit,Income,Business Revenue,622.79
safeway charge,Expense,Groceries,913.5
Inc3ome via nse return,Income,Investments,8988.72
investment return credited to account,Income,Interest/Dividends,8428.57
PayMEnt tO burgEr kINg,Expense,Restaurants,439.87
Income via freelance gig,Income,Freelance,1537.31
PaymeNT to BuRgeR kIng,Expense,Restaurants,11.63
customer paym5ent deposit received,Income,Business Revenue,8420.49
Payment received: bank refund,Income,Refunds,9835.33
Payment received: contract project payment,Income,Freelance,2542.61
office lease income deposit received,Income,Rent Income,4365.61
Payment to netflix,Expense,Subscriptions,742.2
Purchase at meijer,Expense,Groceries,453.22
Bank crEdit fRom amAzon rEfund,Income,Refunds,5183.34
Payment to comcast,Expense,Utilities,692.39
monTHly SalarY cRedited to account,Income,Salary,3298.47
Paid taget via card,Expense,Shopping,705.68
Bank credit from nse return,Income,Investments,240.67
Credited fr1om store deposit,Income,Business Revenue,8584.02
Purchase at s1tarbucks,Expense,Restaurants,164.52
Income via shop revenue,Income,Business Revenue,9170.43
booking.com charge,Expense,Travel,380.85
IncomE viA ofFicE Lease inCOme,Income,Rent Income,598.15
Payment to safeway,Expense,Groceries,622.83
Paid burger king via card,Expense,Restaurants,889.71
Bank cred3it from performance bonus,Income,Gift/Bonus,2733.26
FiverR PaYment @Credited to accoUnt,Income,Freelance,3986.99
amazon.com transaction,Expense,Shopping,616.52
Bank credIt from oFfICE lease Income,Income,Rent Income,1441.78
bank refund credited to account,Income,Refunds,7804.86
Lyft RIDe - orDer #5150,Expense,Transportation,117.44
Received nse return,Income,Investments,2085.05
Bank credit from monthly salary,Income,Salary,6858.75
Payment received: fd interest,Income,Interest/Dividends,6929.91
sHell OIl - ORdEr #8619,Expense,Transportation,534.02
PurcHasE At Pg&E Bill,Expense,Utilities,993.96
domino's pizza monthly bill,Expense,Restaurants,16.34
Bank credit from birthday gift money,Income,Gift/Bonus,9560.06
verizon - order #7044,Expense,Utilities,274.71
PuRcHase aT sUbwaY,Expense,Restaurants,31.2
INCome Via upwORk payoUt,Income,Freelance,4552.38
CredITed frOm b2b invoIce Payment,Income,Business Revenue,9861.82
Bank credit from stock dividend,Income,Investments,9597.33
corporate payment credited to account,Income,Salary,1912.37
lyft ride monthly bill,Expense,Transportation,501.73
Received shop revenue,Income,Business Revenue,6459.62
kroger - order #4134,Expense,Groceries,115.02
Purchase at verizon,Expense,Utilities,99.87
Income via fEstivAl boNus,Income,Gift/Bonus,3518.24
Income via store deposit,Income,Business Revenue,1089.92
best buy transaction,Expense,Shopping,540.99
Credited from crypto gain,Income,Investments,9973.92
Payment received: store depos@it,Income,Business Revenue,678.35
Received stock dividend,Income,Investments,4777.1
Payment to aldi,Expense,Groceries,290.32
Paid burger king via card,Expense,Restaurants,197.48
Inco9me via bank interest,Income,Interest/Dividends,5164.23
Paid chevron via card,Expense,Transportation,562.18
feStIvaL bonUs crediTed To accouNt,Income,Gift/Bonus,2397.26
PAymeNt reCeive@D: compANy PaYRolL,Income,Salary,1282.4
Paid publix via card,Expense,Groceries,916.28
share sale profit credited to account,Income,Investments,470.51
Payment to urgent care,Expense,Health & Medical,153.88
burger king charge,Expense,Restaurants,758.89
Bank credit from share sale profit,Income,Investments,9930.23
Paid trader joe via card,Expense,Groceries,707.34
Purchase at city water,Expense,Utilities,584.99
Credited from bank interest,Income,Interest/Dividends,6129.77
youtube premium monthly bill,Expense,Subscriptions,27.7
Payment received: investment return,Income,Interest/Dividends,6876.4
Bank credit from share sale profit,Income,Investments,7724.37
Paid tripadvisor via card,Expense,Travel,346.92
airbnb charge,Expense,Travel,303.23
Credited from bank refund,Income,Refunds,481.83
comcast - order #2685,Expense,Utilities,51.55
Bank credit From OfficE LEaSe incOme,Income,Rent Income,2448.94
domino's pizza charge,Expense,Restaurants,937.96
Income 9via property lease payment,Income,Rent Income,1498.01
PAYment to booKing.com,Expense,Travel,326.02
Purchase at chevron,Expense,Transportation,878.4
credit card cashback deposit rec5eived,Income,Refunds,3693.02
OyO rOoms - oRDer #7175,Expense,Travel,815.4
bank interest credited to account,Income,Interest/Dividends,5547.38
Credited from credit card cashback,Income,Refunds,4573.65
festival bonus deposit received,Income,Gift/Bonus,3156.33
Payment received: mutal fund profit,Income,Investments,9922.98
Bank credit from nse return,Income,Investments,1004.28
Paid airbnb via card,Expense,Travel,482.6
Received perform#ance bonus,Income,Gift/Bonus,5326.31
Purchase at electric co-op,Expense,Utilities,609.68
Payment received: office lease income,Income,Rent Income,8490.32
Paid eleCtric Co-op via 1CarD,Expense,Utilities,150.88
CrediTed from sHaRE saLe PRoFit,Income,Investments,7268.34
Payment to costco,Expense,Groceries,465.0
amazon prime monthly bill,Expense,Subscriptions,804.43
Income via b2b invoice payment,Income,Business Revenue,6242.78
flipkart transaction,Expense,Shopping,758.79
hospital monthly bill,Expense,Health & Medical,572.03
GyM MemBErSHIP - orDer #2299,Expense,Health & Medical,746.47
oyo room1s transaction,Expense,Travel,741.52
domino's pizza transaction,Expense,Restaurants,17.68
Purchase at airbnb,Expense,Travel,774.48
PaID mcdOnAlD via cArd,Expense,Restaurants,715.63
Bank credit from store return refund,Income,Refunds,4243.03
SpeCtRUm - oRdER #4686,Expense,Utilities,654.67
CompAnY pAyRoll dePOSIt received,Income,Salary,9872.48
vERIZOn monThLy BIll,Expense,Utilities,78.34
Purchase at urgent care,Expense,Health & Medical,191.44
Purchase at shell oil,Expense,Transportation,359.48
Credited from nse return,Income,Investments,9965.34
Payment received: birthday gift money,Income,Gift/Bonus,8633.7
1Paid amazon prime via card,Expense,Subscriptions,210.16
Income via office paycheck,Income,Salary,1934.33
Credited from nse return,Income,Investments,5365.33
walgreens monthly bill,Expense,Health & Medical,212.82
contract project payment deposit received,Income,Freelance,3735.89
starbucks - order #7991,Expense,Restaurants,672.1
ikea charge,Expense,Shopping,364.42
shell oil - order #3878,Expense,Transportation,389.29
netflix transaction,Expense,Subscriptions,255.31
PAyMEnt ReCeIved: oNliNe saLe,Income,Business Revenue,4228.06
Paid lyft ride via card,Expense,Transportation,539.2
dividend credit credited to account,Income,Interest/Dividends,6483.36
grubhub monthly bill,Expense,Restaurants,649.28
PUrcHaSe At ubereats,Expense,Restaurants,814.01
Received house rent,Income,Rent Income,6843.11
Pay6ment recived: bank interest,Income,Interest/Dividends,3130.48
burger king tra7nsaction,Expense,Restaurants,969.76
IncOME VIA birthdaY gift moneY,Income,Gift/Bonus,1988.52
Received office lease income,Income,Rent Income,7949.91
Paid mcdonald via card,Expense,Restaurants,608.75
cvs pharmacy - order #7504,Expense,Health & Medical,683.86
Credited from online sale,Income,Business Revenue,1779.85
oyo rooms charge,Expense,Travel,688.51
Bank credit from online sale,Income,Business Revenue,3818.02
hulu - oRdeR #7773,Expense,Subscriptions,685.12
Income via customer payment,Income,Business Revenue,2518.43
lyft ride monthly bill,Expense,Transportation,783.06
performance bonus credited to account,Income,Gift/Bonus,6394.11
Bank credit from bank interest,Income,Interest/Dividends,8275.16
PAid McDOnAld viA Card,Expense,Restaurants,352.7
city water - order #4720,Expense,Utilities,663.41
ebay monthly bill,Expense,Shopping,348.57
Credited from contract project payment,Income,Freelance,8479.01
festival bonus credited to account,Income,Gift/Bonus,1386.75
Payment received: monthly salary,Income,Salary,4663.38
Purchase at makemytrip,Expense,Travel,988.58
Credited from mutual fund profit,Income,Investments,6766.76
aMaZon reFUND eposiT rEceiveD,Income,Refunds,9676.57
Payment to netflix,Expense,Subscriptions,18.22
Income via b2b invoice payment,Income,Business Revenue,4697.17
spotify - order #8421,Expense,Subscriptions,961.17
Payment to tripadvisor,Expense,Travel,334.57
Paid costco via card,Expense,Groceries,624.02
oFFICe lease IncoMe DEPosIt receivED,Income,Rent Income,4325.15
INcome via online saLe,Income,Business Revenue,432.7
Credited from corporate payment,Income,Salary,2799.03
Purchase at walgreens,Expense,Health & Medical,206.55
IncOMe Via Office PaycHeck,Income,Salary,3265.68
Payment To amazoN.coM,Expense,Shopping,225.9
amazon refund credited to account,Income,Refunds,8884.67
hulu - order #2228,Expense,Subscriptions,854.72
INcoMe via mutuAl FuNd profIT,Income,Investments,483.17
Purchase at grubhub,Expense,Restaurants,838.64
Purchase at flipkart,Expense,Shopping,970.59
Purchase at youtube premium,Expense,Subscriptions,801.71
Credited from festival bonus,Income,Gift/Bonus,1937.48
Received freelance gig,Income,Freelance,3601.76
PAid SUbway via carD,Expense,Restaurants,627.95
BAnk crEDit froM shoP rEVenUe,Income,Business Revenue,311.32
Payment to a1pple music,Expense,Subscriptions,916.93
cvs pharmacy transaction,Expense,Health & Medical,282.38
Payment received: bank interest,Income,Interest/Dividends,7662.87
store deposit# credited to account,Income,Business Revenue,5554.37
hospital - order #6444,Expense,Health & Medical,781.0
oyo rooms - order #5628,Expense,Travel,339.88
electric co-op transaction,Expense,Utilities,907.73
Payment to burger king,Expense,Restaurants,17.16
Purchase at urgent care,Expense,Health & Medical,78.34
Credited from bank refund,Income,Refunds,6743.59
starbucks charge,Expense,Restaurants,787.88
uber trip transaction,Expense,Transportation,465.26
Purchase At OYo rOoms,Expense,Travel,136.43
kroger monthly bill,Expense,Groceries,885.45
Bank credit from freelance gig,Income,Freelance,2154.05
shop revenue deposit received,Income,Business Revenue,8622.75
BAnK credit from cOrporate pAyMent,Income,Salary,3267.44
parking garage - order #37280,Expense,Transportation,80.36
Income via share sale profit,Income,Investments,1140.93
Bank credit from fd interest,Income,Interest/Dividends,2199.01
In6come via nse return,Income,Investments,1011.62
spectrum monthly bill,Expense,Utilities,170.51
Payment received: office paycheck,Income,Salary,8320.56
spectrum charge,Expense,Utilities,313.77
Paid hulu via card,Expense,Subscriptions,341.96
Received performance bonus,Income,Gift/Bonus,548.76
spectrum - order #6443,Expense,Utilities,470.15
Credited from nse return,Income,Investments,580.32
bank interest credited to account,Income,Interest/Dividends,2565.92
bp gas charge,Expense,Transportation,369.53
nse return deposit received,Income,Investments,468.98
performance bonus deposit received,Income,Gift/Bonus,3479.44
Income via stock dividend,Income,Investments,960.68
t-MObile - ordeR #4886,Expense,Utilities,850.58
meijer transaction,Expense,Groceries,849.94
trIPaDVisoR TrAnsactiOn,Expense,Travel,469.4
Bank creDIt fRom muTUal fuNd proFit,Income,Investments,6112.0
Bank cRediT FROM diViDenD credit,Income,Interest/Dividends,9096.17
AmaZOn priME moNtHLy bill,Expense,Subscriptions,616.65
Received CrEDIT card casHback,Income,Refunds,7841.13
walmart grocery mont4hly bill,Expense,Groceries,866.02
Credited from property lease payment,Income,Rent Income,5887.16
airbnb monthly bill,Expense,Travel,109.83
Payment received: prperty lease payment,Income,Rent Income,7605.54
PaymEnt recEIVed: prOPeRty lease PayMenT,Income,Rent Income,7310.09
gym meMBership transActioN,Expense,Health & Medical,266.56
Purchase at she5ll oil,Expense,Transportation,542.91
Payment to macys,Expense,Shopping,474.63
hulu m2onthly bill,Expense,Subscriptions,945.43
fd INTErest depoSit ReCeIvED,Income,Interest/Dividends,7243.76
indigo charge,Expense,Travel,49.75
Payment to tripadvisor,Expense,Travel,994.31
myntra monthly bill,Expense,Shopping,295.16
Credite6d from upwork payout,Income,Freelance,3902.26
Payment to spotify,Expense,Subscriptions,490.23
bank interest deposit received,Income,Interest/Dividends,2472.05
amazoncom charge,Expense,Shopping,314.68
client transfer deposit received,Income,Freelance,2725.34
Payment to youtube premium,Expense,Subscriptions,70.31
target monthl bill,Expense,Shopping,564.08
Payment received: paypal refund,Income,Refunds,1313.49
Payment to a#ldi,Expense,Groceries,424.09
store return refund credited to account,Income,Refunds,4398.37
Purchase at booking.com,Expense,Travel,135.75
Income via tenant payment,Income,Rent Income,6217.98
upwork payout credited to account,Income,Freelance,1248.07
Credited from company payroll,Income,Salary,4337.29
BaNk crEdiT from company paYroll,Income,Salary,8364.81
elecriC co-op monTHly bilL,Expense,Utilities,202.04
customer payment credited to account,Income,Business Revenue,9606.42
electric co-op monthly bill,Expense,Utilities,299.47
Credited from bank interest,Income,Interest/Dividends,7276.12
birthday gift money credited to account,Income,Gift/Bonus,4636.0
